country,countryname,poli_regime,GDP,unemploy,employment_growth,inflation,interest,FI,pop,English,French,Spanish,Arabic,0tDis,agr_change
108,Lithuania,2,11886,17.80999947,-4.019999504,1.319184445,NA,2.33111629,3124,0,0,0,0,0,-10.29800234
109,Luxembourg,2,104772,4.360000134,0.759999752,2.273404833,NA,73.53262074,508,0,1,0,0,0,1.251026044
110,Latvia,2,11216,19.47999954,-1.969999313,-1.070663812,NA,1.83308293,2119,0,0,0,0,0,3.468454509
111,"China, Macao SAR",0,52375,2.839999914,0.74000001,2.809706258,0.497134484,12.90471027,537,0,0,0,0,0,0
112,Morocco,0,2876,9.06000042,0.039999962,0.987355331,NA,1.330904482,32410,0,0,0,1,0.075712586,-1.487114539
113,Republic of Moldova,1,1423,7.449999809,-1.049999714,7.352251206,4.761865058,4.923253502,4084,0,0,0,0,0.343810822,-2.334211023
114,Madagascar,0,492,3.839999914,-0.314999819,9.247321736,NA,9.275065794,21152,0,1,0,0,0.86461509,1.539017093
115,Maldives,0,7100,4.577000141,0.290999889,6.149885368,7.284516261,8.363764331,365,1,0,0,0,0.030647954,-3.666666349
116,Mexico,2,9016,5.329999924,0.050000191,4.156727837,0.709280153,1.984292383,117319,0,0,1,0,0.149843277,0.146608709
117,TFYR of Macedonia,1,4543,32.02000046,0.159999847,1.508268832,7.293185556,3.204382649,2071,0,0,0,0,0.304578781,-4.195139399
118,Mali,1,708,8.069999695,1.919000626,1.108926907,0.71404415,3.479525704,15075,0,1,0,0,0.652855128,2.008703563
119,Malta,2,21005,6.849999905,0.039999962,1.516833766,NA,105.7851974,416,1,0,0,0,0,4.156249762
120,Myanmar,0,826,0.785000026,0.006999969,7.718381959,9.301652978,1.818972023,50156,0,0,0,0,0.092410935,2.630854865
121,Montenegro,0,6628,19.68000031,-0.590000153,0.65494657,7.800672329,18.3225975,624,0,0,0,0,0.012174282,0
122,Mongolia,2,2650,6.550000191,-0.690000057,10.14963142,-13.7301743,23.52633713,2713,0,0,0,0,2.561342238,-10.86665465
123,Mozambique,0,419,22.16600037,-0.147001266,12.70123982,8.006606896,12.39337768,24221,0,0,0,0,3.662447956,2.288969709
124,Mauritania,0,1202,10.18999958,0.052000046,6.283540874,NA,3.005028912,3610,0,1,0,1,3.08197365,-0.037838362
126,Mauritius,2,8016,7.690000057,-0.200000286,2.892968717,7.662271817,4.298002643,1248,1,1,0,0,0,-4.926108374
127,Malawi,0,459,6.72300005,0.22699976,7.411590929,11.14611158,1.393882891,15167,1,0,0,0,8.820492787,10.12940178
128,Malaysia,0,9071,3.25,0.440000057,1.710037175,-2.113296158,4.268590275,28112,1,0,0,0,0.096926904,1.37147956
130,Namibia,2,5192,22.10000038,0.819999695,4.874919876,5.944006439,2.545504269,2173,1,0,0,0,3.401433963,-0.013361027
132,Niger,1,348,0.888999999,0.507999957,0.804073081,2.494918813,13.91706144,16426,0,1,0,0,7.525065739,5.511960212
133,Nigeria,0,2327,3.898999929,0.072000027,13.72020184,-42.31018291,1.632848805,158578,1,0,0,0,0.055033264,-1.427363659
134,Nicaragua,1,1526,7.829999924,0.329999924,5.454855462,6.766543739,5.59334541,5738,0,0,1,0,0.833598367,-0.955625727
135,Netherlands,2,50135,4.449999809,-1.039999723,1.275552568,0.894446188,13.836826,16683,0,0,0,0,0.004737861,-2.429937726
136,Norway,2,87831,3.519999981,-0.420000076,2.399257688,NA,5.041413472,4886,0,0,0,0,0.006795588,-0.098837974
137,Nepal,0,602,2.119999886,-0.375999928,9.324000504,-6.20679361,0.548294666,27023,0,0,0,0,0.703796514,-0.858738037
138,New Zealand,2,33543,6.139999866,-0.319999695,2.302025783,NA,0.195319566,4370,1,0,0,0,0.010853985,-15.2102085
139,Oman,0,19281,18.24699974,0.565000534,3.203396372,-7.345574868,2.119034948,3041,0,0,0,1,0,0.873020844
140,Pakistan,0,1023,0.649999976,4.810000062,13.88113926,2.879799176,1.13975303,170560,1,0,0,0,1.055342391,-1.888750519
141,Panama,2,7937,6.519999981,0.039999962,3.491288726,5.014951145,8.658543132,3643,0,0,1,0,0.196361452,0.489506222
142,Peru,2,5022,3.480000019,0.420000076,1.528320597,12.31877935,5.730826615,29374,0,0,1,0,1.952380813,0.70234375
143,Philippines,1,2130,3.609999895,0.25,3.789836348,3.310497474,0.536290787,93727,1,0,0,0,0.806384865,2.904383405
144,Papua New Guinea,1,1998,2,0.072000027,6.013608936,0.635357042,0.201538417,7108,1,0,0,0,0.730797898,0.408514773
145,Poland,2,12507,9.640000343,-1.470000267,2.707452359,NA,3.837716755,38323,0,0,0,0,0.032017102,-12.94044286
148,Portugal,2,22371,10.77000046,-1.340000153,1.402572899,NA,3.54832691,10652,0,0,0,0,0.001802335,-3.342084094
149,Paraguay,1,3228,4.570000172,0.889999866,4.651162791,18.78928697,2.773486544,6210,0,0,1,0,0.714773455,2.277875661
150,State of Palestine,0,2192,23.72999954,0.819999695,3.749157276,-6.38517266,2.018837978,4067,0,0,0,1,0,-20.61461895
152,Qatar,0,69466,0.442999989,-0.092999995,-2.425256752,0.273060307,3.73261156,1780,0,0,0,1,0,0.043066322
154,Romania,1,8219,6.960000038,-0.099999905,6.094215787,10.17901783,1.928339072,20440,0,0,0,0,0.084970988,-3.142752656
155,Russian Federation,0,10652,7.369999886,1.050000191,6.852353956,NA,2.830829818,143154,0,0,0,0,0.132700497,-0.192389797
156,Rwanda,0,563,2.997999907,-0.258999825,2.309146191,14.02860355,4.339184711,10247,1,1,0,0,1.295973166,5.428457395
157,Saudi Arabia,0,19260,5.550000191,-0.170000076,5.343137255,NA,5.534325671,27426,0,0,0,1,0.005660491,-0.17630449
158,Sudan (Former),0,1567,12.88399982,0.116000175,13.24539414,NA,3.144296497,34386,1,0,0,1,2.765415582,0
159,Senegal,2,1001,10.22299957,-0.059999466,1.228681197,3.204759183,2.09923268,12916,0,1,0,0,0.597670115,2.238612164
160,Singapore,0,46592,3.170000076,1.210000038,2.8,5.428484038,23.29559647,5074,1,0,0,0,0,-0.736913734
161,Solomon Islands,1,1363,2.071000099,-0.051000118,1.051481633,7.136118024,24.35889428,528,1,0,0,0,0.090344057,1.107538407
162,Sierra Leone,1,399,4.269000053,-0.129000187,16.63522383,3.475834493,9.247545616,6459,1,0,0,0,0.247016284,15.52202664
163,El Salvador,1,3474,4.889999866,2.440000057,0.907806937,NA,-0.613406113,6165,0,0,1,0,0.360637004,1.689189189
165,Serbia,2,5412,19.21999931,-3.119998932,6.142553602,0.667271301,4.29122045,9030,0,0,0,0,0.010660574,0
167,Sao Tome and Principe,2,1130,14.60200024,0.547999382,13.34005235,14.57760861,25.62621491,175,0,0,0,0,0,-0.520833333
168,Suriname,2,8303,7.559999943,1.460000515,6.944787295,4.099001981,-5.670270825,526,0,0,0,0,0.339835427,-0.062179468
169,Slovakia,2,16561,14.38000011,-2.350000381,0.957018133,NA,2.365847361,5404,0,0,0,0,0.044927135,-10.28973279
170,Slovenia,2,23477,7.239999771,-1.379999638,1.840965347,NA,0.664509447,2045,0,0,0,0,0,5.246672976
171,Sweden,2,52009,8.579999924,-0.279999733,1.157988027,NA,0.127995639,9390,0,0,0,0,0,-0.165716235
172,Swaziland,0,3688,27.79199982,0.183000565,4.509236918,6.349809975,3.056255589,1203,1,0,0,0,9.226586308,-0.058139535
175,Chad,0,824,5.745999813,-0.02699995,-2.077865746,NA,2.936842259,11887,0,1,0,1,2.714641025,0.718710292
176,Togo,0,527,1.860000014,0.000999928,1.834169331,3.890289524,3.937735235,6503,0,1,0,0,0.508477885,0.643500644
177,Thailand,0,5075,0.620000005,0.870000005,3.247588424,0.243145418,4.3232062,67209,0,0,0,0,3.751098955,2.399733798
178,Tajikistan,0,738,11.72099972,-0.220999718,6.419565094,9.725942686,1.407467149,7642,0,0,0,0,5.37808587,1.305374359
180,Timor-Leste,1,3604,3.299999952,1.434000254,6.765976802,NA,0.758567339,1110,0,0,0,0,0.025120381,2.353732347
181,Tonga,0,3590,1.075000048,0.003999949,3.534912023,NA,2.431059942,104,1,0,0,0,0,2.777777778
182,Trinidad and Tobago,2,16658,5.929999828,-0.649999619,10.54738949,-3.060961682,2.47947143,1328,1,0,0,0,0.000817749,-2.53411306
183,Tunisia,0,4140,13.05000019,0.239999771,4.416268965,NA,3.029442784,10640,0,0,0,1,0.098450336,3.134654995
184,Turkey,1,10672,10.65999985,1.890000343,8.566444206,NA,1.178776934,72327,0,0,0,0,0.136563067,-1.906110729
185,U.R. of Tanzania: Mainland,0,694,2.973999977,-0.473999977,6.200155956,4.849963643,5.77306825,46099,1,0,0,0,1.495863574,3.894784376
186,Uganda,0,584,4.006000042,0.153999805,3.976552885,8.689191191,2.694240313,33915,1,0,0,0,0.85120347,8.520547393
187,Ukraine,0,2970,8.100000381,0.739999771,9.378589479,2.166112151,4.742923548,45793,0,0,0,0,0.269239354,-0.236235427
188,Uruguay,2,11938,7.159999847,0.140000343,6.676386868,5.165714029,5.438987612,3374,0,0,1,0,0.264742967,-2.999657182
189,United States,2,48485,9.630000114,-0.380000114,1.640043442,2.004172652,1.733076403,308641,1,0,0,0,0.214155723,-0.581253405
191,St. Vincent and the Grenadines,0,6232,18.81599998,0.025999069,1.480573011,4.53442591,14.27105163,109,1,0,0,0,0.00923654,0
192,Venezuela (Bolivarian Republic of),0,13566,8.449999809,-0.399999619,28.18746471,-18.90855875,0.402601928,29028,0,0,1,0,0.155204204,-0.03968029
194,Viet Nam,0,1310,2.640000105,-0.03000021,8.861600361,0.946652654,6.9006118,88473,0,0,0,0,1.599361681,6.476097057
195,Vanuatu,2,2966,5.402999878,0.05700016,2.809293259,2.809124949,9.005281512,236,1,1,0,0,0.10570389,0.984413454
196,Samoa,0,3648,4.78399992,-0.888000011,0.777007269,8.850291754,-0.205984923,186,1,0,0,0,0,-4.593639576
197,Yemen,0,1230,17.81999969,-3.18999958,11.17483386,NA,0.610357939,23607,0,0,0,1,0.099410699,-0.170464231
198,South Africa,2,7276,24.69000053,-1.149999619,4.257415985,3.274399539,0.984090081,51585,1,0,0,0,1.805650562,-1.017236973
199,Zambia,1,1463,13.18999958,-2.574999809,8.501761334,6.112635175,8.53319779,13850,1,0,0,0,4.199676744,1.261787218
200,Zimbabwe,0,714,5.269000053,-0.146999836,3.034478884,NA,1.208719804,14086,1,0,0,0,0,2.946878635
